Country,Cases,Deaths,Update Time
Grand Total,94512,429,07-06-09 9:00
Grand Total,89921,382,07-03-09 9:00
Grand Total,77201,332,07-01-09 9:00
Grand Total,59814,263,06-26-2009 7:00
Grand Total,55867,238,06-24-2009 7:00
Grand Total,52160,231,06-22-2009 7:00
Grand Total,44287,180,06-19-2009 7:00
Grand Total,39620,167,06-17-2009 12:00
Grand Total,35928,163,06-15-2009 17:00
Grand Total,29669,145,06-12-09 7:00
Grand Total,28774,144,06-11-09 14:00
Grand Total,27737,141,06-10-09 6:00
Grand Total,25288,139,06-08-09 6:00
Grand Total,21940,125,06-05-09 6:00
Grand Total,19273,117,06-03-09 6:00
Grand Total,17410,115,06-01-09 6:00
Grand Total,15510,99,05-29-2009 6:00
Grand Total,13398,95,05-27-2009 8:00
Grand Total,12954,92,05-26-2009 6:00
Grand Total,12515,91,05-25-2009 8:00
Grand Total,12022,86,05-23-2009 8:00
