Country,Cases
Algeria,5
Antigua and Barbuda,2
Argentina,2485
Australia,5298
Austria,19
Bahamas,7
Bahrain,15
Bangladesh,18
Barbados,12
Belgium,54
"Bermuda, UKOT",1
Bolivia,416
Bosnia and Hezegovina,1
Brazil,737
"British Virgin Islands, UKOT",2
Brunei Darussalam,124
Bulgaria,10
Cambodia,7
Canada,7983
Cap Verde,3
"Cayman Islands, UKOT",14
Chile,7376
China,2040
Colombia,118
Cook Island,1
Costa Rica,279
Costa Rica*,227
Cote d'Ivoire,2
Croatia,1
Cuba,85
Cyprus,109
Czech Republic,15
Denmark,66
Dominica,1
Dominican Republic,108
Ecuador,204
Egypt,78
El Salvador,319
Estonia,13
Ethiopia,3
Fiji,2
Finland,47
France,310
"France, French Polynesia, FOC",1
"France, Martinique, FOC",1
Germany,505
Grand Total,94512
Greece,151
Guatemala,128
Guatemala ,286
Guyana,2
Honduras,123
Hungary,11
Iceland,4
India,129
Indonesia,20
Iran,1
"Iran, Islamic Republic",1
Iraq,12
Ireland,74
Israel,681
Italy,146
Jamaica,32
Japan,1790
Jordan,23
Kenya,15
"Korea, Republic of",202
Kuwait,35
Laos,5
Latvia,1
Lebanon,49
Libya,1
Lithuania,3
Luxembourg,6
Malaysia,112
Malta,24
Mauritius,7
Mexico,10262
Monaco,1
Montenegro,10
Morocco,17
Morocco *,6
Myanmar,1
Nepal,5
Netherlands,135
"Netherlands, Curacao, OT",1
New Zealand,1059
Nicaragua,321
Norway,41
Oman,4
Palau,1
Panama,417
Papua New Guinea,1
Paraguay,106
Peru,916
Philippines,1709
Poland,25
Portugal,42
Qatar,23
Romania,41
Russia,3
Saint Lucia,1
Samoa,1
Saudi Arabia,114
Serbia,15
Singapore,1055
Slovakia,18
Slovenia,14
South Africa,18
Spain,776
Sri Lanka,19
Suriname,11
Sweden,84
Switzerland,76
Syria,1
Thailand,2076
The former Yugoslav Republic of Macedonia,2
Trinidad and Tobago,65
Tunisia,5
Turkey,40
Uganda,1
Ukraine,1
United Arab Emirates,8
United Kingdom,7447
"United Kingdom, Isle of Man, Crown Dependency",1
"United Kingdom, Jersey, Crown Dependency",1
United States of America,33902
United States of America*,17855
Uruguay,195
Vanuatu,2
Venezuela,206
Viet Nam,181
West Bank and Gaza Strip,60
Yemen,8
"    France, New Caledonia, FOC",6
"    French Polynesia, FOC",3
"    Martinique, FOC",2
"     French Polynesia, FOC",4
"     Guadaloupe, FOC",2
"     Guernsey, Crown Dependency",5
"     Isle of Man, Crown Dependency",1
"     Jersey, Crown Dependency",11
"     Martinique, FOC",3
"     Netherlands Antilles, Curaçao",8
"     Netherlands Antilles, Curaçao *",3
"     Netherlands Antilles, Curaçao **",3
"     Netherlands Antilles, Sint Maarten",7
"     Netherlands, Aruba",5
"     New Caledonia, FOC",12
     Puerto Rico,18
"     Saint Martin, FOC",1
     Virgin Islands,1
